title,description,type,subject
"fibula/ a navicella, arco",Arco di fibula a navicella,"fibula/ a navicella, arco",ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula,"Fibula ad arco semplice, ingrossato al centro; molla a doppia spirale; lunga staffa ripiegata per l'alloggiamento dell'ardiglione, terminante con apofisi conica e peduncolo",fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ arco,Fibula ad arco semplice,fibula/ arco,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula,Elemento di fibula a forma di ghianda,fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ frammento. Tipo a tre bottoni,Frammento di fibula (forse del tipo a tre bottoni). Staffa lunga con sezione a C e dorso piatto a lastrina quadrangolare liscia; appendice terminale rialzata obliqua a bottone sferoidale preceduto da due costolature. Arco a sezione piano-convessa di cui si conserva solamente una breve porzione in continuità con la staffa.,fibula/ frammento,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula,Fibula in ferro ad arco semplice,fibula,
fibula,"frammenti di fibula, pertinenti alla porzione con i dischi un ambra e alla lunga staffa con perla in ambra al termine",fibula,
fibula,fibula con arco a losanga e lunga staffa a canale,fibula,
fibula,Fibula ad arco semplice con molla a due avvolgenti. Frammentaria,fibula,
fibula,"Fibula ad arcoe semplice, rigonfiato al centro con staffa a cui sembra attorcigliato un filo di ferro",fibula,
fibula,fibula frammentaria con arco a gomito e ingrossato al centro,fibula,
fibula,Fibula framentaria con arco a gomito,fibula,
fibula,Fibula ad arco semplice,fibula,
fibula,Fibula con arco a gomito,fibula,
fibula,frammenti di fibula ad arco semplice,fibula,
fibula,frammenti di fibula,fibula,
fibula,frammenti di fibula ad arco ribassato,fibula,
fibula,"frammenti di fibula ad arco semplice a fusto troncoconico ispessito desinente con appendice a chiodino, privo di ardiglione con la staffa terminante con un pomello",fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula,Fibula arco a losanga fortemente ripiegata . Decorazione a punti e tratti,fibula,
fibula,"Fibula in bronzo ad arco semplice a sezione convessa, mol ad avvolgimento esterno, staffa corta apofisi a melograno",fibula,
fibula,frammento di fibula con arco semplice appiattito,fibula,
fibula,"fibula con arco a gomito, staffa con terminazione a riccio, molla a due avvolgimenti",fibula,
fibula,"Fibula con arco prolungato e ovalizzante, molla a doppio avvolgente e breve ardiglione",fibula,
fibula,Frammenti di fibula,fibula,
fibula,Fibula ad arco semplice con lunga staffa,fibula,
fibula,frammenti di fibula in ferro,fibula,
fibula,Fibula tipo Certosa.,fibula,
fibula,fibula ad arco complesso con molla a due avvolgenti,fibula,
fibula,"fibula ad arco composito, realizzato in ambra ed osso legati da un anima in ferro",fibula,
fibula/ frammento,Arco di fibula,fibula/ frammento,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula,"Frammento pertinente al canale di una fibula, lamina a sezione convessa desinente in una staffa spezzata.",fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ ad arco semplice,"fibula ad arco semplice, con molla a spirale, staffa con elemento a melograna",fibula/ ad arco semplice,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ ad arco serpeggiante,"fibula ad arco serpeggiante, con molla a spirale, ardiglione, lunga staffa laminare con apofisi finale",fibula/ ad arco serpeggiante,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ ad arco semplice,"fibula ad arco semplice con molla a spirale, ardiglione, lunga staffa laminare, ripiegata e desinente in una apofisi biconica",fibula/ ad arco semplice,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ ad arco semplice,"fibula ad arco semplice, tipo Certosa, con staffa laminare, ripiegata, terminante con elemento globulare e peduncolo",fibula/ ad arco semplice,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ ad arco semplice,fibula ad arco semplice con staffa,fibula/ ad arco semplice,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula. ad arco semplice,Fibula in ferro di cui si conserva solamente l'arco di tipo semplice. Le superfici risultano abbastanza correse e rovinate,fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI
fibula. ad arco composito,"Fibula ad arco composito con elemento centrale cilindrico in ambra e terminazioni coniche in osso, la lunga staffa termina con una perla in ambra di forma globulare. SI conserva, inoltre, anche parte dell'ago",fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI
fibula. ad arco semplice,"Fibula in ferrofortemente frammentaria. Si conservano solamentente 10 piccoli frammenti, fortemente corrosi, tra cui è ancora visibile una piccola porzione della molla.",fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI
fibula,"frammento di fibula costituita a molla, parte di ardiglione e arco",fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula. ad arco semplice,Fibula realizzata in bronzo del tipo ad arco semplice con molla a due avvolgenti,fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI
fibula,"fibula ad arco semplice, staffa breve desinente con elemento cuspidale",fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ frammento,frammento di fibula ad arco ingrossato,fibula/ frammento,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula. ad arco semplice,Fibula in argento con arco semplice e staffa a canale,fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI
fibula,Si corserva l'arco e parte della staffa della fibula.,fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ ardiglione,ardiglione di fibula in bronzo,fibula/ ardiglione,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula ad occhiali,"frammento di elemento e due spirali, probabilmente pertinente a fibula e occhiali",fibula ad occhiali,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ frammento,Arco di fibula in sei frammenti.,fibula/ frammento,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula. ad anello,"Fibula ad anello con vergga rastremata e leggermente appiattita, con presenza di incisioni fitte e terminazione a ricciolo. L'ardiglione avvolto con rigo semplice e teminiazione a punta, sporgente mezzo centimetro oltre la circonferenza",fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI
fibula. ad arco composito,"Fibula ad arco composito, con la parte centrale dell’arco rivestita da dischi in ambra e le parte terminali da elementi in osso, con lunga staffa in ferro a profilo cavo.",fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI
fibula. a staffa lunga,Fibula in ferro a staffa lunga. Fortemente frammentara,fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI
fibula/ arco,Fibula ad arco semplice con attacco della molla,fibula/ arco,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ arco,Fibula ad arco semplice,fibula/ arco,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula,"Fibula ad arco semplice, modanata al centro; molla a spirale; lunga staffa ripiegata per l'alloggiamento dell'ardiglione, terminante con apofisi biconica",fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ arco,Fibula ad arco semplice,fibula/ arco,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula,Elemento di fibula a forma di anforetta,fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula,Parte di fibula con arco semplice e staffa laminare,fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ ad arco semplice,"Fibula ad arco semplice lievemente ingrossato al centro; molla a spirale; lunga staffa laminare, ripiegata per l'alloggiamento dell'ardiglione",fibula/ ad arco semplice,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula,"Elemento di fibula con vago in corallo, inserito nella staffa in argento",fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula,"Elemento di fibula di forma troncoconica, forata longitudinalmente",fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula,"fibula ad arco semplice ingrossato al centro, caratterizzata da lunga staffa rettangolare con apofisi",fibula,ornamenti personali
fibula,"fibula ad arco semplice ingrossato al centro, caratterizzata da lunga staffa rettangolare con apofisi",fibula,ornamenti personali
fibula ad arco,"fibula ad arco in forma di colomba con testa minuta, becco lungo e sottile, corpo rigonfio, ali e coda decorate a incisione, staffa e ardiglione in ferro",fibula ad arco,ornamenti personali
fibula ad arco ingrossato,"fibula ad arco ingrossato con ardiglione a sezione circolare, staffa in lamina trapezoidale desinente in apofisi simmetrica a trottola",fibula ad arco ingrossato,ornamenti personali
fibula ad arco semplice,fibula ad arco semplice a sezione circolare con staffa trapezoidale,fibula ad arco semplice,ornamenti personali
fibula/ arco,piccolo arco di fibula,fibula/ arco,ornamenti personali
fibula ad arco semplice,fibula ad arco semplice e sezione circolare con molla a doppia spirale,fibula ad arco semplice,ornamenti personali
fibula,"fibula con arco a sanguisuga e lunga staffa con apofisi, decorati con fili godronati",fibula,ornamenti personali
fibula,"fibula ad arco ingrossato, staffa breve con piccola apofisi verticale",fibula,ornamenti personali
fibula,"fibula ad arco laminare, molla a due avvolgimenti, staffa a trapezio con piccola apofisi verticale di forma conica",fibula,ornamenti personali
fibula,fibula con arco a sezione circolare ingrossato alla sommità e molla a due avvolgimenti,fibula,ornamenti personali
fibula,"fibula con arco ingrossato, staffa di lamina ripiegata desinente con apofisi a globetto",fibula,ornamenti personali
fibula,"fibula con arco ingrossato, staffa in lamina ripiegata desinente con apofisi a globetto",fibula,ornamenti personali
fibula/ frammento,frammenti di fibula con arco ingrossato e molla a due avvolgimenti,fibula/ frammento,ornamenti personali
fibula,"fibula con arco ingrossato, staffa lunga desinente con apofisi a globetto",fibula,ornamenti personali
fibula ad arco ingrossato,fibula ad arco ingrossato con ardiglione a sezione circolare e staffa in lamina trapezoidale,fibula ad arco ingrossato,ornamenti personali
fibula/ frammento. ad occhiali,tubulo a sezione circolare avvolto a spirale pertinente ad una fibula ad occhiali,fibula/ frammento,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
FIBULA,"fibula ad arco ripiegato a gomito, ingrossata al centro; molla a doppia spirale",FIBULA,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ GIOIELLI E MONILI
fibula,"fibula ad arco semplice ingrossato al centro, caratterizzata da lunga staffa rettangolare con apofisi",fibula,ornamenti personali
fibula,"fibula ad arco semplice ingrossato al centro, caratterizzata da lunga staffa rettangolare con apofisi",fibula,ornamenti personali
fibula,"fibula con staffa in lamina ripiegata, arco a sezione circolare leggermente ingrossato, molla a due avvolgimenti, ardiglione sottile",fibula,ornamenti personali
fibula ad arco semplice,"fibula ad arco semplice a sezione circolare, staffa rettangolare desinente in una apofisi globulare quasi verticale",fibula ad arco semplice,ornamenti personali
fibula,Fibula ad arco semplice a sezione circolare e con straffa lunga,fibula,
fibula,Fibula frammentaria ad arco semplice e lunga staffa. Superfici molto corrose,fibula,
fibula,Frammenti di fibula ad arco ovale schiacciato e molla a due avvolgenti,fibula,
fibula,Fibula ad arco con lunga staffa. Frammentaria,fibula,
fibula,"Fibula ad arco semplice, con la terminazione della staffa arricchita da una pelina in ambra",fibula,
fibula,"Fibula ad arco tondo, staffa priva di apofisi.",fibula,
fibula,Fibula con arco a gomito e staffa piatta. Molto frammentaria,fibula,
fibula,frammenti di fibula con arco a gomito e lunga staffa,fibula,
fibula,Frammenti di fibula con arco a gomito,fibula,
fibula,"Fibula ad arco, rigonfio al centro",fibula,
fibula,frammenti di fibula ad arco ribassato,fibula,
fibula,frammenti di fibula con doppio arco a profilo arrotondato,fibula,
fibula ad arco foliato,Fibula con bottone ed arco a foglia; staffa rettangolare; bottone troncoconico; doppi ardiglioni uno dei quali spezzato,fibula ad arco foliato,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ ad arco semplice,"fibula ad arco semplice, con molla a spirale, staffa con elemento a melograna, ardiglione",fibula/ ad arco semplice,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
fibula/ ad arco semplice,"fibula ad arco semplice, con molla e staffa laminare, ripiegata",fibula/ ad arco semplice,ABBIGLIAMENTO E ORNAMENTI PERSONALI/ ACCESSORI
FIBULA A SANGUISUGA,arco ispessito desinente in una molla ad una estremità e nella staffa troncoconica a canale all'altra estremità,FIBULA A SANGUISUGA,ORNAMENTI
FIBULA A SANGUISUGA,"arco ispessito desinente in molla e lunga staffa a canale, spezzata",FIBULA A SANGUISUGA,ORNAMENTI
FIBULA,"arco laminare desinente in una lunga staffa a canale ed in una molla a doppia spira, da cui prende origine l'ardiglione",FIBULA,ORNAMENTI
FIBULA,"arco laminare desinente in una lunga staffa a canale ed in una molla a doppia spira, da cui prende origine l'ardiglione",FIBULA,ORNAMENTI
FIBULA,"arco tubolare desinente in una lunga staffa a canale ed in una molla a doppia spira, da cui prende origine l'ardiglione",FIBULA,ORNAMENTI
fibula. ad occhiali,verga a sezione circolare attorcigliato dall'interno. Al centro delle spirali cono di ferro. Sul retro tracce di una lamina di attacco in ferro.,fibula,ABBIGLIAMENTO E ORNAMENTI PERSONALI/GIOIELLI E MONILI
FIBULA A SANGUISUGA,arco ispessito desinente in una molla ad una estremità e nella staffa troncoconica a canale all'altra estremità,FIBULA A SANGUISUGA,ORNAMENTI
FIBULA A SANGUISUGA,"arco ispessito desinente in molla e lunga staffa a canale, spezzata",FIBULA A SANGUISUGA,ORNAMENTI
FIBULA,"arco laminare desinente in una lunga staffa a canale ed in una molla a doppia spira, da cui prende origine l'ardiglione",FIBULA,ORNAMENTI
